S1-3,Processes to remediate negative impacts and channels for own workers to raise concerns,,
S1-4,"Taking action on material impacts on own workforce, and approaches to mitigating material risks and pursuing material opportunities related to own workforce, and effectiveness of those actions",,
S1-5,"Targets related to managing material negative impacts, advancing positive impacts, and managing material risks and opportunities",,
S1-6,Characteristics of the undertaking’s employees,,
S1-7,Characteristics of non-employee workers in the undertaking’s own workforce,,
S1-8,Collective bargaining coverage and social dialogue,,
S1-9,Diversity metrics,,
S1-10,Adequate wages,,
S1-11,Social protection,,
S1-12,Persons with disabilities,,
S1-13,Training and skills development metrics,,
S1-14,Health and safety metrics,,
S1-15,Work-life balance metrics,,
S1-16,Compensation metrics (pay gap and total compensation) ,,
S1-17,"Incidents, complaints and severe human rights impacts",,
S1-SBM-2,Interests and views of stakeholders,,
S1-SBM-3,"Material impacts, risks and opportunities and their interaction with strategy and business model",,
ESRS S2,Workers in the Value Chain,,
S2-1,Policies related to value chain workers,,
S2-2,Processes for engaging with value chain workers about impacts,,
S2-3,Processes to remediate negative impacts and channels for value chain workers to raise concerns,,
S2-4,"Taking action on material impacts on value chain workers, and approaches to managing material risks and pursuing material opportunities related to value chain workers, and effectiveness of those action",,
S2-5,"Targets related to managing material negative impacts, advancing positive impacts, and managing material risks and opportunities ",,
S2-SBM-2,Interests and views of stakeholders,,
S2-SBM-3,"Material impacts, risks and opportunities and their interaction with strategy and business model",,
ESRS S3,Affected Communities,,
S3-1,Policies related to affected communities,, 
S3-2,Processes for engaging with affected communities about impacts,,
S3-3,Processes to remediate negative impacts and channels for affected communities to raise concerns,,
S3-4,"Taking action on material impacts on affected communities, and approaches to managing material risks and pursuing material opportunities related to affected communities, and effectiveness of those actions",,
S3-5,"Targets related to managing material negative impacts, advancing positive impacts, and managing material risks and opportunities",,
S3-SBM-2,Interests and views of stakeholders,,
S3-SBM-3,"Material impacts, risks and opportunities and their interaction with strategy and business model",,
ESRS S4,Consumers and End-Users,,
S4-1,Policies related to consumers and end-users,,
S4-2,Processes for engaging with consumers and end-users about impacts,,
S4-3,Processes to remediate negative impacts and channels for consumers and end-users to raise concerns,,
S4-4,"Taking action on material impacts on consumers and end-users, and approaches to managing material risks and pursuing material opportunities related to consumers and end-users, and effectiveness of those actions",,
S4-5,"Targets related to managing material negative impacts, advancing positive impacts, and managing material risks and opportunities	",,
S4-SBM-2,Interests and views of stakeholders,,
S4-SBM-3,"Material impacts, risks and opportunities and their interaction with strategy and business model",,
ESRS G1,Business Conduct,,
G1-1,Business conduct policies and corporate culture,,
G1-2,Management of relationships with suppliers,,
G1-3,Prevention and detection of corruption and bribery,,
G1-4,Incidents of corruption or bribery,,
G1-5,Political influence and lobbying activities,,
G1-6,Payment practices,,
G1-IRO-1,"Description of the processes to identify and assess material impacts, risks and opportunitie",,
G1-GOV-1,"The role of the administrative, supervisory and management bodies",,
